keys;en;fi
UI_VOLUME;Volume;Äänenvoimakkuus
UI_FULLSCREEN;Fullscreen;Koko näyttö
UI_LANGUAGE;Language;Kieli
UI_BACK;Back;Takaisin
UI_PLAY;Play;Pelaa
UI_SETTINGS;Settings;Asetukset
UI_QUIT;Quit;Lopeta
UI_RESUME;Resume;Jatka
UI_MAIN_MENU;Main Menu;Päävalikko
UI_PAUSED;Paused;Tauolla
UI_CHARACTER;Character;Hahmo
UI_FRIENDLIST;Friendlist;Kaverit
UI_EXIT;Exit;Poistu
UI_SINGLEPLAYER;Singleplayer;Yksinpeli
UI_MULTIPLAYER;Multiplayer;Moninpeli
UI_EDITOR;Editor;Muokkaa
UI_STORE;Store;Kauppa
UI_HOST;Host game;Luo peli
UI_JOIN;Join game;Liity peliin
UI_CONNECT;Connect;Yhdistä
UI_START;Start game;Aloita peli
